pub_uid,record_uid,reference,subset,region,commonname,family,genus,alive,dead,hooks_per_set,hooks_between_floats,bait,hook,leader,studycat,soak_max (hours),branchline length (m)
3,3.004,"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",n,mb,tope shark,Triakidae,Galeorhinus,5,0,unk,unk,other,j,other,observerEM,unk,unk
3,3.005,"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",n,mb,bigeye thresher shark,Alopiidae,Alopias,1,0,unk,unk,other,j,other,observerEM,unk,unk
3,3.006,"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",n,mb,sandbar shark,Carcharhinidae,Carcharhinus,2,0,unk,unk,other,j,other,observerEM,unk,unk
3,3.007,"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",n,mb,bluntnose sixgill shark,Hexanchidae,Hexanchus,3,0,unk,unk,other,j,other,observerEM,unk,unk
4,4.001,"Sulikowski J, Golet W, Hoffmayer E, Driggers III W, Natanson L, Carlson A, Sweezey B (2020) Observing post-release mortaltiy for dusky sharks, Carcharhinus obscurus, captured in the U.S. pelagic longline fishery. Fisheries Research 221: 105341.",n,ao,dusky shark,Carcharhinidae,Carcharhinus,123,0,168,unk,squid,c,mono,experiment,9,20
5,5.001,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,crocodile shark,Pseudocarchariidae,Pseudocarcharias,1405,216,1293,5,other,j,other,observerEM,21,18
5,5.002,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,shorfin mako shark,Lamnidae,Isurus,911,503,1293,5,other,j,other,observerEM,21,18
5,5.003,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,bigeye thresher shark,Alopiidae,Alopias,524,537,1293,5,other,j,other,observerEM,21,18
5,5.004,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,pelagic stingray,Dasyatidae,Pteroplatytrygon,392,4,1293,5,other,j,other,observerEM,21,18
5,5.005,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,smooth hammerhead shark,Sphyrnidae,Sphyrna,108,264,1293,5,other,j,other,observerEM,21,18
5,5.006,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,silky shark,Carcharhinidae,Carcharhinus,137,173,1293,5,other,j,other,observerEM,21,18
5,5.007,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,oceanic whitetip shark,Carcharhinidae,Carcharhinus,185,96,1293,5,other,j,other,observerEM,21,18
5,5.008,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,longfin mako shark,Lamnidae,Isurus,116,52,1293,5,other,j,other,observerEM,21,18
5,5.009,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,tiger shark,Carcharhinidae,Galeocerdo,35,1,1293,5,other,j,other,observerEM,21,18
5,5.01,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,tope shark,Triakidae,Galeorhinus,25,0,1293,5,other,j,other,observerEM,21,18
5,5.011,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,scalloped hammerhead shark,Sphyrnidae,Sphyrna,9,12,1293,5,other,j,other,observerEM,21,18
5,5.012,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,bignose shark,Carcharhinidae,Carcharhinus,4,7,1293,5,other,j,other,observerEM,21,18
5,5.013,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,porbeagle shark,Lamnidae,Lamna,7,3,1293,5,other,j,other,observerEM,21,18
5,5.014,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,thresher shark,Alopiidae,Alopias,1,2,1293,5,other,j,other,observerEM,21,18
5,5.015,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,great hammerhead shark,Sphyrnidae,Sphyrna,3,0,1293,5,other,j,other,observerEM,21,18
5,5.016,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,nurse shark,Ginglymostomatidae,Ginglymostoma,1,0,1293,5,other,j,other,observerEM,21,18
5,5.017,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,gulper shark,Centrophoridae,Centrophorus,0,1,1293,5,other,j,other,observerEM,21,18
5,5.018,"Coelho R, Fernandez-Carvalho J, Lino P, Santos M. 2012a. An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean. Aquat. Living Resour. 25: 311-319.",n,ao,cookie cutter shark,Dalatiidae,Isistius,1,0,1293,5,other,j,other,observerEM,21,18
6,6.001,"Coelho R, Santos M, Amorim S. 2012b. Effects of hook and bait on targeted and bycatch fishes in an equatorial Atlantic pelagic longline fishery. Bulletin of Marine Science 88: 449-467.",Y (hook shape),ao,bigeye thresher shark,Alopiidae,Alopias,20,12,1381,5,other,j,mono,experiment,21,18
6,6.002,"Coelho R, Santos M, Amorim S. 2012b. Effects of hook and bait on targeted and bycatch fishes in an equatorial Atlantic pelagic longline fishery. Bulletin of Marine Science 88: 449-467.",Y (hook shape),ao,pelagic stingray,Dasyatidae,Pteroplatytrygon,111,12,1381,5,other,j,mono,experiment,21,18
6,6.003,"Coelho R, Santos M, Amorim S. 2012b. Effects of hook and bait on targeted and bycatch fishes in an equatorial Atlantic pelagic longline fishery. Bulletin of Marine Science 88: 449-467.",Y (hook shape),ao,crocodile shark,Pseudocarchariidae,Pseudocarcharias,107,10,1381,5,other,j,mono,experiment,21,18
6,6.004,"Coelho R, Santos M, Amorim S. 2012b. Effects of hook and bait on targeted and bycatch fishes in an equatorial Atlantic pelagic longline fishery. Bulletin of Marine Science 88: 449-467.",Y (hook shape),ao,bigeye thresher shark,Alopiidae,Alopias,4,58,1381,5,other,c,mono,experiment,21,18
6,6.005,"Coelho R, Santos M, Amorim S. 2012b. Effects of hook and bait on targeted and bycatch fishes in an equatorial Atlantic pelagic longline fishery. Bulletin of Marine Science 88: 449-467.",Y (hook shape),ao,pelagic stingray,Dasyatidae,Pteroplatytrygon,55,6,1381,5,other,c,mono,experiment,21,18
6,6.006,"Coelho R, Santos M, Amorim S. 2012b. Effects of hook and bait on targeted and bycatch fishes in an equatorial Atlantic pelagic longline fishery. Bulletin of Marine Science 88: 449-467.",Y (hook shape),ao,crocodile shark,Pseudocarchariidae,Pseudocarcharias,264,27,1381,5,other,c,mono,experiment,21,18
7,7.001,"Gilman, E., Chaloupka, M., Sieben, C. 2021. Ecological risk assessment of a data-limited fishery using an ensemble of approaches. Marine Policy 104752",n,po,blue shark,Carcharhinidae,Prionace,172,53,3337,11,fish,c,mono,observerEM,20.6,unk
7,7.002,"Gilman, E., Chaloupka, M., Sieben, C. 2021. Ecological risk assessment of a data-limited fishery using an ensemble of approaches. Marine Policy 104752",n,po,silky shark,Carcharhinidae,Carcharhinus,0,1,3337,11,fish,c,mono,observerEM,20.6,unk
7,7.003,"Gilman, E., Chaloupka, M., Sieben, C. 2021. Ecological risk assessment of a data-limited fishery using an ensemble of approaches. Marine Policy 104752",n,po,longfin mako shark,Lamnidae,Isurus,0,1,3337,11,fish,c,mono,observerEM,20.6,unk
7,7.004,"Gilman, E., Chaloupka, M., Sieben, C. 2021. Ecological risk assessment of a data-limited fishery using an ensemble of approaches. Marine Policy 104752",n,po,pelagic stingray,Dasyatidae,Pteroplatytrygon,1471,26,3337,11,fish,c,mono,observerEM,20.6,unk
7,7.005,"Gilman, E., Chaloupka, M., Sieben, C. 2021. Ecological risk assessment of a data-limited fishery using an ensemble of approaches. Marine Policy 104752",n,po,shorfin mako shark,Lamnidae,Isurus,15,10,3337,11,fish,c,mono,observerEM,20.6,unk
8,8.001,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,bigeye thresher shark,Alopiidae,Alopias,27,14,1355,7,other,j,mono,observerEM,unk,23
8,8.002,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,bignose shark,Carcharhinidae,Carcharhinus,2,0,1355,7,other,j,mono,observerEM,unk,23
8,8.003,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,blacktip reef shark,Carcharhinidae,Carcharhinus,5,0,1355,7,other,j,mono,observerEM,unk,23
8,8.004,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,blue shark,Carcharhinidae,Prionace,182,33,1355,7,other,j,mono,observerEM,unk,23
8,8.005,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,copper shark,Carcharhinidae,Carcharhinus,10,0,1355,7,other,j,mono,observerEM,unk,23
8,8.006,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,thresher shark,Alopiidae,Alopias,13,3,1355,7,other,j,mono,observerEM,unk,23
8,8.007,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,crocodile shark,Pseudocarchariidae,Pseudocarcharias,2,0,1355,7,other,j,mono,observerEM,unk,23
8,8.008,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,galapagos shark,Carcharhinidae,Carcharhinus,1,0,1355,7,other,j,mono,observerEM,unk,23
8,8.009,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,great hammerhead shark,Sphyrnidae,Sphyrna,0,1,1355,7,other,j,mono,observerEM,unk,23
8,8.01,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,longfin mako shark,Lamnidae,Isurus,6,4,1355,7,other,j,mono,observerEM,unk,23
8,8.011,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,oceanic whitetip shark,Carcharhinidae,Carcharhinus,4,0,1355,7,other,j,mono,observerEM,unk,23
8,8.012,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,ocellated angelshark,Squatinidae,Squatina,1,0,1355,7,other,j,mono,observerEM,unk,23
8,8.013,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,pelagic thresher shark,Alopiidae,Alopias,14,8,1355,7,other,j,mono,observerEM,unk,23
8,8.014,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,sandbar shark,Carcharhinidae,Carcharhinus,3,3,1355,7,other,j,mono,observerEM,unk,23
8,8.015,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,scalloped hammerhead shark,Sphyrnidae,Sphyrna,0,1,1355,7,other,j,mono,observerEM,unk,23
8,8.016,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,shorfin mako shark,Lamnidae,Isurus,18,1,1355,7,other,j,mono,observerEM,unk,23
8,8.017,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,silky shark,Carcharhinidae,Carcharhinus,261,107,1355,7,other,j,mono,observerEM,unk,23
8,8.018,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,tiger shark,Carcharhinidae,Galeocerdo,8,0,1355,7,other,j,mono,observerEM,unk,23
8,8.019,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,pelagic stingray,Dasyatidae,Pteroplatytrygon,305,67,1355,7,other,j,mono,observerEM,unk,23
8,8.02,"Gilman, E., Chaloupka, M., Merrifield, M., Malsol, N., Cook, C. 2016. Standardized catch and survival rates, and effect of a ban on shark retention, Palau pelagic longline fishery. Aquatic Conservation: Marine and Freshwater Ecosystems 26: 1031-1062",n,po,spinetail mobula,Mobulidae,Mobula,1,0,1355,7,other,j,mono,observerEM,unk,23
9,9.001,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,blue shark,Carcharhinidae,Prionace,216,14,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.002,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,pelagic thresher shark,Alopiidae,Alopias,65,65,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.003,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,silky shark,Carcharhinidae,Carcharhinus,52,22,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.004,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,bigeye thresher shark,Alopiidae,Alopias,2,3,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.005,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,thresher shark,Alopiidae,Alopias,2,0,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.006,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,longfin mako shark,Lamnidae,Isurus,1,3,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.007,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,shorfin mako shark,Lamnidae,Isurus,0,1,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.008,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,pelagic stingray,Dasyatidae,Pteroplatytrygon,155,6,1709,21.5,fish,c,mono,experiment,17.1,23
9,9.009,"Gilman, E., Chaloupka, M., Musyl, M. 2018. Effects of pelagic longline hook size on species- and size-selectivity and survival. Rev Fish Biol Fisheries 28: 417-433.",n,po,giant manta ray,Mobulidae,Mobula,1,0,1709,21.5,fish,c,mono,experiment,17.1,23
10,10.001,"Moyes, C, Fragoso, N. 2006. Predicting postrelease survival in large pelagic fish. Transactions of the American Fisheries Society 135: 1389-1397.",n,po,blue shark,Carcharhinidae,Prionace,0,172,500,4.5,squid,c,mono,experiment,12,unk
11,11.001,"Gilman, E., Castejon, V.D.R., Loganimoce, E., Chaloupka, M. 2020. Capability of a pilot fisheries electronic monitoring system to meet scientific and compliance monitoring objectives. Marine Policy 113: https://doi.org/10.1016/j.marpol.2019.103792",n,po,pelagic stingray,Dasyatidae,Pteroplatytrygon,44,0,2767,23,fish,c,mono,observerEM,21.2,23
11,11.002,"Gilman, E., Castejon, V.D.R., Loganimoce, E., Chaloupka, M. 2020. Capability of a pilot fisheries electronic monitoring system to meet scientific and compliance monitoring objectives. Marine Policy 113: https://doi.org/10.1016/j.marpol.2019.103792",n,po,silky shark,Carcharhinidae,Carcharhinus,3,0,2767,23,fish,c,mono,observerEM,21.2,23
12,12.001,"Guida, L., Dapp, D., Huveneers, C., Walker, T., Reina, R. 2017. Evaluating time-depth recorders as a tool to measure the behaviour of sharks captured on longlines. Journal of Experimental Biology and Ecology 497: 120-126.",n,io,copper shark,Carcharhinidae,Carcharhinus,11,0,unk,unk,other,c,wire,experiment,13,unk
12,12.002,"Guida, L., Dapp, D., Huveneers, C., Walker, T., Reina, R. 2017. Evaluating time-depth recorders as a tool to measure the behaviour of sharks captured on longlines. Journal of Experimental Biology and Ecology 497: 120-126.",n,io,smooth hammerhead shark,Sphyrnidae,Sphyrna,5,0,unk,unk,other,c,wire,experiment,13,unk
12,12.003,"Guida, L., Dapp, D., Huveneers, C., Walker, T., Reina, R. 2017. Evaluating time-depth recorders as a tool to measure the behaviour of sharks captured on longlines. Journal of Experimental Biology and Ecology 497: 120-126.",n,io,dusky shark,Carcharhinidae,Carcharhinus,2,0,unk,unk,other,c,wire,experiment,13,unk
13,13.001,"Sieben, C., Gascoigne, J., Watt, P. 2019. Marine Stewardship Council Final Report. SZLC CSFC and FZLC FSM EEZ Longline Yellowfin and Bigeye Tuna Fishery. Control Union Pesca, Lymington, UK. ",n,po,bigeye thresher shark,Alopiidae,Alopias,3,0,3143,23,fish,c,mono,observerEM,21.2,23
13,13.002,"Sieben, C., Gascoigne, J., Watt, P. 2019. Marine Stewardship Council Final Report. SZLC CSFC and FZLC FSM EEZ Longline Yellowfin and Bigeye Tuna Fishery. Control Union Pesca, Lymington, UK. ",n,po,blue shark,Carcharhinidae,Prionace,181,0,3143,23,fish,c,mono,observerEM,21.2,23
13,13.003,"Sieben, C., Gascoigne, J., Watt, P. 2019. Marine Stewardship Council Final Report. SZLC CSFC and FZLC FSM EEZ Longline Yellowfin and Bigeye Tuna Fishery. Control Union Pesca, Lymington, UK. ",n,po,longfin mako shark,Lamnidae,Isurus,7,1,3143,23,fish,c,mono,observerEM,21.2,23
13,13.004,"Sieben, C., Gascoigne, J., Watt, P. 2019. Marine Stewardship Council Final Report. SZLC CSFC and FZLC FSM EEZ Longline Yellowfin and Bigeye Tuna Fishery. Control Union Pesca, Lymington, UK. ",n,po,pelagic stingray,Dasyatidae,Pteroplatytrygon,182,1,3143,23,fish,c,mono,observerEM,21.2,23
13,13.005,"Sieben, C., Gascoigne, J., Watt, P. 2019. Marine Stewardship Council Final Report. SZLC CSFC and FZLC FSM EEZ Longline Yellowfin and Bigeye Tuna Fishery. Control Union Pesca, Lymington, UK. ",n,po,pelagic thresher shark,Alopiidae,Alopias,12,0,3143,23,fish,c,mono,observerEM,21.2,23
