scientific_name,threats,systems,redlist_category,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes,demers_pelag,length,l_type_max_m,median_depth_2,measure_fb
Carcharhinus tilstoni,"<p>A <span class=""apple-converted-space""><span class=""apple-converted-space"">Taiwanese gillnet fishery operated in northern Australian waters between 1979 and 1986 <span class=""apple-converted-space""><span class=""apple-converted-space"">with an annual catch of about 7,000 tonnes (t) processed weight of shark, tuna, and mackerel <span class=""apple-converted-space""><span class=""apple-converted-space""><span class=""apple-converted-space""><span class=""apple-converted-space""><span class=""apple-converted-space""><span class=""apple-converted-space"">(Stevens and Davenport 1991)<span class=""apple-converted-space""><span class=""apple-converted-space"">. Sharks comprised about 80% of the total catch with <span class=""apple-converted-space""><span class=""apple-converted-space""><span class=""apple-converted-space""><span class=""apple-converted-space""><span class=""apple-converted-space"">the Australian Blacktip Shark and the Sp<em></em><span class=""apple-converted-space""><span class=""apple-converted-space"">ottail Shark<span class=""apple-converted-space"">&#160;(<em>C. sorrah</em>)<span class=""apple-converted-space""><span class=""apple-converted-space""><em> </em>accounting for about 60% (40% and 20%, respectively). There was an apparent decrease in the number of mature male and female<span class=""apple-converted-space""><span class=""apple-converted-space"">&#160;Australian Blacktip Shark&#160;from 1981 to 1986 (Stevens and Davenport 1991). Data from this fishery between 1975 and 1978 showed the highest shark catches (all species) were in North Queensland, Torres Strait, Gulf of Papua, Gulf of Carpentaria, and Inshore Arafura Sea.<span class=""apple-converted-space""><br/><br/></span></span></span></span></span></span></span></span></span></span></span></span>After the Taiwanese fishery ceased, the Australian Blacktip Shark&#160;was targeted by a series of&#160;smaller State-managed domestic fisheries. These fisheries, with catches an order of magnitude&#160;lower than the Taiwanese fishery (Field <em>et al.</em> 2012), have permitted this species to recover to a stable population (Bradshaw <em>et al</em>. 2013, Grubert <em>et al.</em> 2013). There are five fisheries that target&#160;the Australian Blacktip Shark<em>. </em>The Northern   Territory Offshore Net and Line fishery is the most significant, catching between 300 and 400 t (average 368 t) per year (Northern Territory Government 2014). In Queensland, two fisheries catch significant quantities of this species, the East Coast Inshore Fin Fish Fishery (average 192 t per year) and the Gulf  of Carpentaria Inshore Fin Fish Fishery (on average 146 t per year) (Johnson&#160;<em>et al.</em>&#160;2014). Low quantities are caught in the New South Wales Ocean Trap and Line fishery and this species is currently not commercially harvested in Western   Australia, although it was previously captured in significant quantities by the Joint Authority Northern Shark Fishery (Johnson <em>et al.</em> 2014).&#160;This species is caught by recreational and Indigenous fishers throughout its range. The exact magnitude of this catch is unknown but it is inferred to be minor (Saunders and Carne 2010, West <em>et al.</em> 2012).<br/><br/>Hybridisation between this species and the similar Blacktip Shark (<em>C. limbatus</em>) has been detected throughout their sympatric range (Morgan <em>et al.</em> 2011). The number of hybrids in the population appears to be significant (Welch <em>et al.</em> 2011) although the effect of this on population dynamics remains unknown.<br/><br/>The effect of illegal, unreported, and unregulated (IUU) fishing in Australian waters is uncertain, although it is suspected that it has reduced from the high levels estimated in the mid-2000s (Field <em>et al.</em> 2009, Marshall 2011). This decrease is attributed to higher fuel prices, increased border patrols, and a decrease in the demand for shark fins (Marshall 2011). Although the magnitude of IUU fishing is unknown, fin-based identification of species in apprehended IUU catches showed that&#160;the Australian Blacktip Shark&#160;is a significant component of Indonesian IUU fishing vessels illegally operating in Australian waters (Marshall 2011). Australian stock assessments therefore incorporate a large IUU catch for this species in their models (Bradshaw <em>et al.</em> 2013, Grubert <em>et al.</em> 2013).<br/><br/>The Australian Blacktip Shark is difficult to distinguish from the similar Blacktip Shark, making accurate catch reporting by commercial fishers and fisheries scientists&#160;problematic. As a result, catches of the two species are reported as a species-complex (Harry <em>et al.</em> 2012). There are three main methods&#160;to distinguish between these two species: vertebrae counts (Last and Stevens 2009), genetics (Ovenden <em>et al.</em> 2010), and differences in the size at maturity (Harry <em>et al.</em> 2012). While the difference in size at maturity can be used for field identification, it only applies to those specimens over 115 cm TL (size at maturity for&#160;the Australian Blacktip Shark) and a large proportion of the commercial catch is below this size (Johnson 2013). Vertebrae counts and genetic analysis&#160;cannot be used in the field. Another morphological technique shows promise for field identification (Johnson 2013) and may increase reporting accuracy, but estimating the comparative proportion of&#160;the Australian Blacktip Shark&#160;and&#160;the Blacktip Shark&#160;in commercial catch currently relies on samples that have been genetically identified (Ovenden <em>et al.</em> 2010). &#160;</p><p>        <br/><br/></p>",Marine,Least Concern,Australian blacktip shark,Carcharhinidae,Carcharhiniformes,ram,200,total_length,75,placental viviparity,coastal,,pelagic-neritic,200,TL,75,total_length
Centrophorus harrissoni,"From the 1970s to 2000, gulper sharks (including Harrisson’s Dogfish) were heavily exploited off the east coast of Australia by commercial trawl, longline, and targeted gillnet fisheries (Graham&#160;<em>et al</em>. 2001, Daley&#160;<em>et al</em>. 2002, Wilson&#160;<em>et al</em>. 2009). Despite the current zero retention limit, some gulper sharks have been recorded in landings from trawl fisheries in the Commonwealth Trawl and Scalefish Hook sectors (0.5 and 0.35 t in 2016–17 and 2017–18 fishing seasons, respectively); these landings may be reporting errors, but misreporting or underestimation of discards is also plausible based on the degree of overlap with current fishing effort (Patterson&#160;<em>et al.&#160;</em>2018). Given their slow life histories, even low levels of mortality can pose risk for the recovery of gulper shark populations.",Marine,Endangered,,Centrophoridae,Squaliformes,,,,,,,,bathydemersal,111.4000015258789,TL,520,total_length
Centrophorus moluccensis,"<p>Gulper sharks (<em>Centrophorus </em>spp) have been taken as both targeted and incidental catch across its range in midwater and demersal trawl, surface and demersal longline, and setnet fisheries.<br/><br/>In the Australian Southern and Eastern Scalefish and Shark Fishery (SESSF), total shark catches from the eastern and western deep-water shark fisheries peaked in 1998 at 330 t and 400 t, respectively, before declining to &lt;25 t in each zone by 2007 (Patterson&#160;<em>et al.&#160;</em>2018). Off Western Australia, a targeted gillnet fishery for deep-water dogfish (mainly <em>Centrophorus</em> spp) operated between 1996–1999; the fishery ceased after three years due to rapid declines in catch (Daley <em>et al</em>. 2002).&#160;<a>A&#160;semi-quantitative risk assessment for chondrichthyan bycatch species taken in the SESSF ranked this species with low risk from current industrial fishing as fishing effort has been reduced off the eastern coast of Australia and the south coast of Western Australia between&#160;Cape Leeuwin and&#160;Albany&#160;where the species occurs (T. Walker unpubl. data 2019). Also, the species now has refuge along much of the west coast of Australia where only three&#160;trawlers were active during the 2017‒2018&#160;fishing season (Mazloumi <em>et al. </em>2019), as well as&#160;</a>off the west Pacific Islands where there are no known deep-water fisheries.<br/><br/>Where targeted fishing occurs, fishing activity has been intensive. In the Philippines, deep-water dogfish fisheries (<em>Centrophorus </em>spp and <em>Squalus </em>spp), dating back to the 1960s, are known for their boom-and-bust nature and collapse over short periods of time (~10 years) before effort is shifted into new regions (Flores 2004). Deep-water dogfishes, including a number of&#160;<em>Centrophorus&#160;</em>spp, are targeted and/or retained as bycatch throughout Indonesia for their high value liver oil (White&#160;<em>et al.&#160;</em>2006, Blaber&#160;<em>et al.</em>&#160;2009, Gunawan 2013, Samusamu and Dharmadi 2017). Fisheries occur at depths of 200–800 m (Samusamu and Dharmadi, 2017), but have also been reported near shore at depths &lt;100 m (Gunawan 2013). There is a high level of fisheries resource use and increasing fishing pressure across Indonesia, and demersal coastal fisheries resources have been severely depleted in many areas across the Indo-West Pacific (Stobutzki&#160;<em>et al</em>.&#160;2006).&#160;Catches of sharks and rays in Southeast Asia are very high, but are declining and fishers are travelling much further from port in order to increase catches (Chen 1996). Targeting gulper shark fishing has also occurred off the Andaman Islands since the 1980s (Soundararajan and Roy 2004). <br/><br/>A number of deep-water demersal trawl fisheries, some dating back to 1968, operate in the Southwest Indian Ocean (Groeneveld and Everett 2015). These fisheries target a mixture of high-value crustaceans (deep-water prawns, lobsters, crabs) at depths of 300–700 m (Groeneveld and Everett 2015). Fishing pressure in this region is expected to continue; in 2017, the fishery in Madagascar intensified from 2 to 12 Chinese deep-water trawlers in 2017 without any known management measures (R. Bennett pers. comm. 25/4/2018). Bycatch is recognised as making up a considerable amount of the catch, with sharks, fish, and cephalopods comprising ~85% of catch by weight (Doherty&#160;<em>et al.&#160;</em>2015).</p>",Marine,Vulnerable,,Centrophoridae,Squaliformes,,,,,,,,bathydemersal,100,TL,474,total_length
Centrophorus squamosus,"<p>The Leafscale Gulper Shark has been taken as both targeted and incidental catch across its range in midwater and demersal trawl, surface and demersal longline, and setnet fisheries.<br/><br/>Where targeted fishing occurs, fishing activity has been intensive. In the Philippines, deep-water dogfish fisheries (<em>Centrophorus </em>spp and <em>Squalus </em>spp), dating back to the 1960s, are known for their boom-and-bust nature and collapse over short periods of time (~10 years) before effort is shifted into new regions (Flores 2004). Deep-water dogfishes, including a number of&#160;<em>Centrophorus&#160;</em>spp, are targeted and/or retained as bycatch throughout Indonesia for their high value liver oil (White&#160;<em>et al.&#160;</em>2006, Blaber&#160;<em>et al.</em>&#160;2009, Gunawan 2013, Samusamu and Dharmadi 2017). Fisheries occur at depths of 200–800 m (Samusamu and Dharmadi, 2017), but have also been reported near shore at depths &lt;100 m (Gunawan 2013). There is a high level of fisheries resource use and increasing fishing pressure across Indonesia, and demersal coastal fisheries resources have been severely depleted in many areas across the Indo-West Pacific (Stobutzki&#160;<em>et al</em>.&#160;2006).&#160;Catches of sharks and rays in Southeast Asia are very high, but are declining and fishers are travelling much further from port in order to increase catches (Chen 1996). <br/><br/>This species was previously reported in trawl, longline and gillnet fisheries targeting mixed deep-water sharks along the continental slope of the Northeast Atlantic (Gordon 1999), and was historically exploited commercially. Landings of the Leafscale Gulper Shark were historically aggregated with other deep-water dogfish (primarily the Portuguese Dogfish,&#160;<em>Centroscymnus coelolepis</em>) in a mixed landing category, referred to as “siki” shark (ICES-WGEF 2018).&#160;Since the introduction of Total Allowable Catch (TAC) of zero in 2010, it is likely that discarding and misreporting of the species has increased (ICES-WGEF 2018).&#160;In 2014, 50% of sampled specimens collected from longliners and landed as the Tope Shark (<em>Galeorhinus galeus</em>)&#160;were found to be Leafscale Gulper Shark or Portuguese Dogfish (ICES-WGEF 2018). Despite a number of management measures to reduce deep-water shark fishing mortality, the species is still captured in considerable quantities in demersal fisheries (e.g. Fauconnet&#160;<em>et al.</em>&#160;2019).&#160;Discard mortality is unknown, but presumed to be high (Rodríguez-Cabello and Sánchez 2017) and the extent of illegal, unreported, and unregulated (IUU) fishing is unknown (ICES-WGEF 2018).<br/><br/>Between 1950–1998,&#160;there was an apparent increase in reported landings&#160;of deep-water sharks and dogfishes&#160;across the east central Atlantic region (e.g.&#160;Vasconcellos and Watson 2004). Deep-water sharks were first exploited in Senegal during World War II, and have been reported in landings from Cape Verde since the 1950s (Diop and Dossa 2011). More recent targeted longline fisheries for&#160;deep-water sharks have been identified in countries such as Mauritania and Ghana (FAO 2016). In Mauritania and Namibia, deep-water sharks have been reported as bycatch from black hake (<em>Merluccius senegalensis</em>&#160;and&#160;<em>M. polli</em>) fisheries (Fernández<em>&#160;et al.&#160;</em>2005, Kainge&#160;<em>et al.&#160;</em>2010) and unidentified deep-water sharks are also reported from regional and distant water shrimp trawlers (FarFish 2017). Accurate species-specific catches are difficult to determine and likely underestimated due to on-board processing as deep-water sharks are rarely landed whole (Fernández&#160;<em>et al</em>.&#160;2005). Gulper sharks are occasionally reported (&lt;1 t between 2010–12) in demersal trawl and hake longline fisheries off South Africa (da Silva&#160;<em>et al</em>.&#160;2015).<br/><br/>In India, fisheries employing a number of gear types (trawl, longline, gill net, hook and line) have expanded further offshore into deeper waters as inshore stocks become heavily exploited. A targeted gulper shark (<em>Centrophorus&#160;</em>spp) liver oil fishery (operating at depths of &gt;300–1,000 m) commenced in 2002, and during the period 2002–2008, there was a major increase in landings of deep-water sharks (see Akhilesh&#160;<em>et al.</em>&#160;2011, 2013, Akhilesh and Ganga 2013). Targeting fishing has occurred off the Andaman Islands&#160;since the 1980s (Soundararajan and Roy 2004). Reports of large quantities of shark liver oil recently transported out of Somalia may be indicative of developing fisheries in this region (K.K. Bineesh unpubl. data 2019). <br/><br/>Deep-water sharks have been targeted in demersal longline and gillnet fisheries operating in areas managed under the Southern Indian Ocean Fisheries Agreement (SIOFA); the latter of these fisheries ceased in 2015 (Georgeson&#160;<em>et al.</em>&#160;2019). An ecological risk assessment framework for deep-water sharks found the Leafscale Gulper Shark to have extreme vulnerability to demersal trawl and demersal longline in South Pacific Ocean fisheries (Georgeson&#160;<em>et al.</em>&#160;2019).&#160;</p>",Marine,Endangered,Leafscale gulper shark,Centrophoridae,Squaliformes,stationary,166,total_length,1683,yolk-sac viviparity,bathydemersal,,bathydemersal,164,TL,1272.5,total_length
Centroscyllium kamoharai,"<p>The Bareskin Dogfish is infrequently taken incidentally in benthic trawl and deepwater longline (Ebert&#160;<em>et al</em>. 2013a). Due to its fragile skin, this species may be misidentified with the Southern Lanternshark (<em>Etmopterus granulosus</em>) in poor condition (Roberts <em>et al. </em>2015). In recent years, increased reports of this species from fish markets in Taiwan suggest fishing efforts are moving into deeper water (Ebert <em>et al</em>. 2013b), possibly expanding further into the depth range of the Bareskin Dogfish. In New Zealand waters, its depth distribution likely provides it with some refuge, as its primary depth distribution is beyond 800 m where trawling occurs less regularly (between 1989/90 and 2010/11, 85% of trawling within New Zealand waters occurred at depths less than 800 m; Black and Tilney 2015).</p>",Marine,Least Concern,,Etmopteridae,Squaliformes,,,,,,,,bathydemersal,60,TL,965,total_length
Centroscymnus owstonii,"The Roughskin Dogfish is taken incidentally in benthic trawl and longline (surface and benthic) fisheries across its range (Walker and Gason 2007, Francis 2015, Compagno 2016). This species is strongly associated with seamounts (Tracey <em>et al</em>. 2004), potentially increasing its susceptibility to capture.<br/><br/>In the Australian Southern and Eastern Scalefish and Shark Fishery (SESSF), most catches are from depths &gt;600 m (Walker and Gason 2007). This species, and other smallspine sharks (<em>Centroscymnus </em>spp) were previously targeted in mid-slope (650-1,200 m) deepwater shark fisheries (Daley <em>et al</em>. 2002). In the Northeast Atlantic, deepwater dogfish are taken as bycatch in multi-species deepwater trawl, hook, and gillnet fisheries that target other species with high Total Allowable Catches (TACs) (Dureuil and Jung 2015), and it is likely that this species is also captured. A qualitative risk assessment for New Zealand's chondrichthyans ranked this species moderate risk from commercial fishing (Ford <em>et al</em>. 2015), and a semi-quantitative risk assessment for chondrichthyan bycatch species taken in the SESSF ranked this species with low risk from commercial fishing (Walker <em>et al</em>. 2008).<br/><br/>Across its range, it has been documented that the Roughskin Dogfish has been reported under a generic code (Blackwell 2010), or misidentified with other <em>Centroscymnus </em>species, including the Portuguese Dogfish (<em>C. coelolepis</em>) (Daley <em>et al</em>. 2002, Moura <em>et al</em>. 2008, Ebert 2015). The Portguese Dogfish represented the majority of deepwater shark in some European fisheries, including Portugal (Figueiredo and Machado 2005), before targeted deepwater shark fishing was prohibited in the EU (ICES 2016). These factors are likely to underestimate catches of the Roughskin Dogfish. Any discard mortality is unknown, but presumed to be high (Brooks <em>et al</em>. 2015).<br/><br/>The Roughskin Dogfish is also reported from Eastern Central Atlantic benthic trawl and tuna longline fisheries, however, further information is not available for catches of this species (Compagno 2016). As fisheries expand further into deeper water, it is likely that the Roughskin Dogfish will be at risk of future population declines in other parts of its distribution.",Marine,Vulnerable,,Somniosidae,Squaliformes,,,,,,,,bathydemersal,148,TL,800,total_length
Centroselachus crepidater,"<p>The Longnose Velvet Dogfish&#160;has been taken as both targeted and incidental catch across its range in midwater and demersal trawl, surface and demersal longline, and gillnet fisheries. The species is likely to have refuge at depth; the species has been found to be most abundant at depths &gt;900 m (e.g. Gordon 1999, Anderson <em>et al</em>. 1998) and its peak distribution in the Northeast Atlantic was between 750–1,050&#160;m (Neat&#160;<em>et al</em>. 2015). <br/><br/>This species was previously reported in trawl, longline and gillnet fisheries targeting mixed deep-water sharks along the continental slope of the Northeast Atlantic (Gordon 1999), and was historically exploited commercially. Landings of this species have likely been recorded in mixed categories, including ""siki sharks"" (ICES-WGEF 2018). Despite a number of management measures to reduce deep-water shark fishing mortality, the species is still captured occasionally in demersal fisheries (e.g. Moura&#160;<em>et al.</em>&#160;2018). Discard mortality is unknown, but could be high; at vessel mortality for the congener, Owston's Dogfish (<em>Centroscymnus owstoni</em>), was found to be 80% (Ellis&#160;<em>et al.</em>&#160;2017).<br/><br/>Between 1950–1998, there was an apparent increase in reported landings of deep-water sharks and dogfishes across the East Central Atlantic region (e.g.&#160;Vasconcellos and Watson 2004). A lack of species-specific information limits the ability to identify which species are reported from the region. Deep-water sharks were first exploited in Senegal during World War II, and have been reported in landings from Cape Verde since the 1950s (Diop and Dossa 2011). More recent targeted longline fisheries for&#160;deep-water sharks have been identified in countries such as Mauritania and Ghana (FAO 2016). In Mauritania and Namibia, deep-water sharks have been reported as bycatch from black hake (<em>Merluccius senegalensis</em>&#160;and&#160;<em>M. polli</em>) fisheries (Fernández<em>&#160;et al.&#160;</em>2005, Kainge<em>&#160;et al</em>. 2010) and unidentified deep-water sharks are also reported from regional and distant water shrimp trawlers (FarFish 2017). Accurate species-specific catches are difficult to determine and likely underestimated due to on-board processing as deep-water sharks are rarely landed whole (Fernández&#160;<em>et al.</em>&#160;2005). <br/><br/>The species is occasionally reported as bycatch in demersal trawl fisheries operating off Chile&#160;targeting Chilean Hake (<em>Merluccinus gayi gayi</em>) (SUBPESCA 2017), as well as demersal&#160;crustacean fisheries (Acuña<em>&#160;et al.&#160;</em>2005) and demersal&#160;longline Patagonian Toothfish fisheries (<em>Dissostichus eleginoides</em>) (Lamilla 2008).&#160;It is also occasionally reported from deep-water longline and shrimp trawl fisheries off southwest India&#160;(Akhilesh&#160;<em>et al.</em>&#160;2011).<br/><br/>Deep-water sharks have been targeted in demersal longline and gillnet fisheries operating in areas managed under the Southern Indian Ocean Fisheries Agreement (SIOFA); the latter of these fisheries ceased in 2015 (Georgeson&#160;<em>et al</em>.&#160;2019). An ecological risk assessment framework for deep-water sharks found the Longnose Velvet Dogfish to have extreme vulnerability to demersal trawl and longline, and gillnets and high vulnerability to midwater trawl in Southern Indian Ocean, and extreme vulnerability to demersal trawl in South Pacific Ocean fisheries (Georgeson&#160;<em>et al</em>.&#160;2019). <br/><br/>In the Southwest Pacific, the Longnose Velvet&#160;Dogfish is regularly reported as bycatch from offshore deep-water fisheries in New Zealand&#160;(Francis <em>et al. </em>2016). In the Australian Southern and Eastern Scalefish and Shark Fishery (SESSF), total shark catches from the eastern and western deep-water shark fisheries peaked in 1998 at 330 t and 400 t, respectively, before declining to &lt;25 t in each zone by 2007 (Patterson<em> et al. </em>2018). A qualitative risk assessment for New Zealand's chondrichthyans ranked this species as one of the highest species at risk from industrial fishing that is not managed by the Quota Management System (QMS) (Ford<em>&#160;et al. </em>2018), and a semi-quantitative risk assessment for chondrichthyan bycatch species taken in the SESSF ranked this species with low risk from current industrial fishing as fishing effort has been reduced and the species likely has refuge at depth&#160;(T. Walker unpubl. data 2019).</p>",Marine,Near Threatened,Longnose velvet dogfish,Somniosidae,Squaliformes,stationary,105,total_length,1140,yolk-sac viviparity,bathydemersal,,,,,,
Chiloscyllium punctatum,"The Grey Carpetshark is widely fished across most of its range outside of northern Australia. It comprises one of the most commonly landed shark species at Thai fishing ports where capture is primarily through otter trawls and also pair trawls. Aggregate shark landings have decreased from ~10,000 tons in 2004 to ~1,000 tons in 2011 (Krajandara 2014). Assuming these declining landings are indicative of overfishing-induced declines and are indicative of population reduction of this species they represent a &gt;90% population reduction within a three generation span (~28.5 years). Declines are likely to have also occurred elsewhere. This species was the most common of all the orectolobiform sharks (comprising 77.9%) landed in Indonesia during surveys from April 2001-March 2006. Landings were recorded from Jakarta, Bali and Lombok fish markets from trawl, handline, longline and gillnet fisheries (Dharmadi <em>et al</em>. 2015). Genetic analyses (DNA barcoding) of shark fins collected during market surveys conducted across Indonesia from mid 2012 to mid 2014 found the vast majority of landed species were pelagic sharks with common reef and carpet sharks extremely rare. Given the extensive shallow coastal habitat around Indonesia that would support the reef and carpet shark species, the authors conclude that this is a strong indication of the collapse of reef shark populations in Indonesia, most likely due to overfishing (Semibiring <em>et al</em>. 2015).<br/><br/>Extensive trawling in the Arafura Sea (Blaber <em>et al</em>. 2005) and in the Java Sea (Blaber <em>et al</em>. 2009) is likely to impact the Grey Carpetshark in these regions. Documented large declines in shark and ray catches associated with corresponding increases in fishing effort in the Java Sea (Blaber <em>et al</em>. 2009) is likely to have a large impact on the Grey Carpetshark in Indonesian waters and may be representative of fishing impacts across the region.<br/><br/>A prawn trawl fishery consisting of about nine vessels operates in the Gulf of Papua in southern Papua New Guinea and the Grey Carpetshark is caught in the Gulf of Papua in moderate numbers (W. White, pers. comm. 2015).<br/><br/>Within Australia, small numbers of the Grey Carpetshark are captured in the Pilbara Trawl (Western Australian Department of Fisheries 2010), the Queensland East Coast Inshore Finfish Fisheries (Harry <em>et al</em>. 2011), the Queensland East Coast Trawl Fishery (Kyne 2010), the Northern Prawn Fishery (Stobutzki <em>et al</em>. 2002) and most certainly other fisheries in northern Australia. Carpetsharks are generally discarded in Australian fisheries.",Marine,Near Threatened,,Hemiscylliidae,Orectolobiformes,,,,,,,,reef-associated,132,TL,42.5,total_length
Chlamydoselachus anguineus,"There are no targeted fisheries for the Frilled Shark, but this species is occasionally taken as bycatch in bottom and midwater trawls, deep-set longlines, and in deep-set gillnets. In Japan, the species is noted on occasion in fish markets.<br/><br/>Deepwater fisheries have expanded at an annual rate of 62.5 metres depth per decade over the last half century from 1950–2004 (Watson and Morato 2013). There is some concern that if deepwater fisheries continue to expand, bycatch for this species may also increase. However, in many of the countries where this species has been encountered (New Zealand, Australia, European waters and the United States), effective management and depth restrictions to fisheries are in place (see Conservation section). Nonetheless, species-specific fisheries catch and monitoring data would help understand the impact that bycatch is having on this species.<br/><br/><span lang=""EN-GB"">In Australian waters, a considerable proportion of the depth range of this species is outside the activity of commercial trawl fisheries so it is expected that bycatch levels would be low to negligible; catch levels are low in the&#160;Southern and Eastern Scalefish and Shark Fishery (SESSF) (Walker and Gason 2007).",Marine,Least Concern,,Chlamydoselachidae,Hexanchiformes,,,,,,,,bathydemersal,200,TL,785,total_length
Cirrhigaleus australis,"The two long dorsal-fin spines make this species particularly vulnerable capture in nets and trawls. The very stout body of this species also most likely reflects a slow moving lifestyle thus making trawl evasion more difficult.&#160;<br/><br/>The Southern and Eastern Scalefish and Shark Fishery (SESSF) operates within this species’ range off eastern Australia and it is a probable bycatch within that fishery. The range of the species in particular overlaps with the Commonwealth Trawl Sector of the SESSF (Georgeson <em>et al.</em> 2015). Although suspected to be naturally rare, the historical impact of the fishery&#160;on the Southern Mandarin Shark is unknown; the fishery has caused significant declines in other dogfish species (e.g. Graham&#160;<em>et al.&#160;</em>2001).<br/><br/>Around New Zealand the Southern Mandarin Dogfish is a negligible bycatch in recreational and commercial fisheries, with most records from droplines and longlines, and few from trawls. The lack of records from trawls suggests a possible preferred habitat of deep reefs and therefore a potential refuge away from trawl grounds (C. Duffy, pers. comm. 16 March 2016).",Marine,Data Deficient,,Squalidae,Squaliformes,,,,,,,,pelagic-oceanic,,,500,
Deania calcea,"<p>The Birdbeak Dogfish has been taken as both targeted and incidental catch across its range in midwater and demersal trawl, demersal longline, and gillnet fisheries.<br/><br/>This species was previously reported in trawl, longline and gillnet fisheries targeting mixed deep-water sharks along the continental slope of the Northeast Atlantic (Gordon 1999), and was historically exploited commercially. Trawl survey records indicate peak depth distribution of the species is also at depths &gt;800 m (Neat&#160;<em>et al.&#160;</em>2015). Despite a number of management measures to reduce deep-water shark fishing mortality, the species is still captured in considerable quantities in demersal fisheries (e.g. Fauconnet&#160;<em>et al.&#160;</em>2019). At vessel mortality is high, and post release mortality is likely to be high as well (Rodríguez-Cabello&#160;and Sanchez&#160;2017). <br/><br/>Between 1950–1998, there was an apparent increase in reported landings of deep-water sharks and dogfishes across the East Central Atlantic region (e.g.&#160;Vasconcellos and Watson 2004). Deep-water sharks were first exploited in Senegal during World War II, and have been reported in landings from Cape Verde since the 1950s (Diop and Dossa 2011). More recent targeted longline fisheries for&#160;deep-water sharks have been identified in countries such as Mauritania and Ghana (FAO 2016). In Mauritania and Namibia, deep-water sharks have been reported as bycatch from black hake (<em>Merluccius senegalensis&#160;</em>and&#160;<em>M. polli</em>) fisheries (Fernández&#160;<em>et al.</em>&#160;2005, Kainge<em>&#160;et al.&#160;</em>2010) and unidentified deep-water sharks are also reported from regional and distant water shrimp trawlers (FarFish 2017). Accurate species-specific catches are difficult to determine and likely underestimated due to on-board processing as deep-water sharks are rarely landed whole (Fernández&#160;<em>et al.</em>&#160;2005).&#160;<em>Deania&#160;</em>spp are occasionally reported (annual catch of &lt;1 t between 2010–12) in demersal inshore and offshore hake trawl fisheries off South Africa (da Silva&#160;<em>et al.&#160;</em>2015), and in hake fisheries operating off Chile (SUBPESCA 2017).<br/><br/>Deep-water sharks have been targeted in demersal longline and gillnet fisheries operating in areas managed under the Southern Indian Ocean Fisheries Agreement (SIOFA); the latter of these fisheries ceased in 2015 (Georgeson&#160;<em>et al.</em>&#160;2019). An ecological risk assessment framework for deep-water sharks found the Birdbeak Dogfish to have extreme vulnerability to midwater trawl and demersal longline fisheries in Southern Indian Ocean, and extreme vulnerability to demersal trawl and demersal longline in South Pacific Ocean fisheries (Georgeson<em>&#160;et al.</em>&#160;2019). <br/><br/>In the Indo-Pacific, the&#160;Birdbeak Dogfish is one of the most deep-water shark species reported as bycatch from offshore deep-water fisheries in New Zealand&#160;(Francis 2015), with trawl survey records indicating peak depth distribution at depths &gt;800 m (Anderson <em>et al. </em>1998). In the Australian Southern and Eastern Scalefish and Shark Fishery (SESSF), total shark catches from the eastern and western deep-water shark fisheries peaked in 1998 at 330 t and 400 t, respectively, before declining to &lt;25 t in each zone by 2007 (Patterson <em>et al. </em>2018). A qualitative risk assessment for New Zealand's chondrichthyans ranked this species as one of the highest species at risk from industrial fishing that is not managed by the Quota Management System (QMS) (Ford&#160;<em>et al.</em> 2018), and <a>a semi-quantitative risk assessment for chondrichthyan bycatch species taken in the SESSF ranked this species with low risk from current industrial fishing as fishing effort has been reduced and the species likely has refuge at depth&#160;(T. Walker, unpubl. data 2019). Any <em>Deania </em>spp caught in Taiwanese fisheries is likely retained and sold locally (Liu <em>et al</em>. 2013).</a></p>",Marine,Near Threatened,,Centrophoridae,,,,,,,,,,,,,
