scientific_name,f,f_mort,common_name
Eridacnis barbouri,0.031744728,0.01540176,Cuban ribbontail catshark
Eridacnis radcliffei,0.065306341,0.038609958,Pygmy ribbontail catshark
Eridacnis sinuans,0.05447083,0.034683383,African ribbontail catshark
Etmopterus bigelowi,0.05447083,0.035338988,Blurred lanternshark
Etmopterus brachyurus,0.040760965,0.026763454,Short-tail lanternshark
Etmopterus bullisi,0.040760965,0.026444452,Lined lanternshark
Etmopterus burgessi,0.040760965,0.026518839,Broadsnout lanternshark
Etmopterus compagnoi,0.081128532,0.052927354,Brown lanternshark
Etmopterus decacuspidatus,0.081128532,0.05263368,Combtooth lanternshark
Etmopterus dianthus,0.081128532,0.052818239,Pink lanternshark
Etmopterus dislineatus,0.081128532,0.052630981,Lined lanternshark
Etmopterus evansi,0.081128532,0.05263368,Blackmouth lanternshark
Etmopterus fusus,0.092088981,0.059979013,Pygmy lanternshark
Etmopterus gracilispinis,0.092088981,0.05974448,Broadbanded lanternshark
Etmopterus granulosus,0.093135615,0.060778636,Southern lanternshark
Etmopterus hillianus,0.093135615,0.060593472,Caribbean lanternshark
Etmopterus joungi,0.093135615,0.064615702,Shortfin smooth lanternshark
Etmopterus litvinovi,0.093135615,0.055466852,Smalleye lantern shark
Etmopterus lucifer,0.093135615,0.060760642,Blackbelly lanternshark
Etmopterus molleri,0.093135615,0.060635377,Slendertail lanternshark
Etmopterus perryi,0.093135615,0.061993246,Dwarf lanternshark
Etmopterus polli,0.093135615,0.054862618,African lanternshark
Etmopterus princeps,0.093135615,0.055248443,Great lanternshark
Etmopterus pusillus,0.040760965,0.024014125,Smooth lanternshark
Etmopterus pycnolepis,0.040760965,0.024511287,Dense-scale lantern shark
Etmopterus robinsi,0.040760965,0.024014125,West Indian lanternshark
Etmopterus schultzi,0.040760965,0.024014125,Fringefin lanternshark
Etmopterus sculptus,0.040760965,0.024014125,Sculpted lanternshark
Etmopterus sentosus,0.040760965,0.025095787,Thorny lanternshark
Etmopterus spinax,0.102225161,0.0606404,Velvet belly
Etmopterus splendidus,0.063510577,0.043468477,Splendid lanternshark
Etmopterus unicolor,0.063510577,0.037823681,Brown lanternshark
Etmopterus viator,0.063510577,0.037740139,Blue-eye lanternshark
Etmopterus virens,0.063510577,0.037416949,Green lanternshark
Eucrossorhinus dasypogon,0.063510577,0.037509589,Tasselled wobbegong
Euprotomicrus bispinatus,0.063510577,0.037648466,Pygmy shark
Eusphyra blochii,0.063510577,0.047193007,Winghead shark
Figaro boardmani,0.063510577,0.035088125,Australian sawtail catshark
Figaro striatus,0.079088487,0.044322533,Northern sawtail catshark
Furgaleus macki,0.222640604,0.16121397,Whiskery shark
Galeocerdo cuvier,0.157181936,0.044075319,Tiger shark
Galeorhinus galeus,0.095329301,0.095329301,Tope shark
Galeus atlanticus,0.081128532,0.044327892,Atlantic sawtail catshark
Galeus eastmani,0.081128532,0.044748489,Gecko catshark
Galeus gracilis,0.081128532,0.045655826,Slender sawtail catshark
Galeus longirostris,0.081128532,0.044776602,Longnose sawtail catshark
Galeus melastomus,0.141269441,0.082070742,Blackmouth catshark
Galeus mincaronei,0.081128532,0.045589457,Southern sawtail catshark
Galeus murinus,0.081128532,0.045102672,Mouse catshark
Galeus nipponensis,0.081128532,0.045637372,Broadfin sawtail catshark
Galeus piperatus,0.081128532,0.045102672,Peppered catshark
Galeus polli,0.081128532,0.04483681,African sawtail catshark
Galeus sauteri,0.051205292,0.039105287,Blacktip sawtail catshark
Galeus schultzi,0.040760965,0.022938607,Dwarf sawtail catshark
Ginglymostoma cirratum,0.054137563,0.032699363,Nurse shark
Gogolia filewoodi,0.081128532,0.064211583,Sailback houndshark
Gollum attenuatus,0.081128532,0.044922921,Slender smooth-hound
Halaelurus boesemani,0.081128532,0.05441987,Speckled catshark
Halaelurus buergeri,0.081128532,0.061795896,Blackspotted catshark
Halaelurus lineatus,0.081128532,0.05441987,Lined catshark
Halaelurus natalensis,0.081128532,0.061751186,Tiger catshark
Halaelurus quagga,0.081128532,0.056780145,Quagga catshark
Halaelurus sellus,0.081128532,0.061600774,Rusty catshark
Haploblepharus edwardsii,0.081128532,0.062389229,Puffadder shyshark
Haploblepharus fuscus,0.081128532,0.063716037,Brown shyshark
Haploblepharus kistnasamyi,0.081128532,0.059659445,Natal shyshark
Haploblepharus pictus,0.081128532,0.062395799,Dark shyshark
Hemigaleus australiensis,0.032411574,0.024595799,Australian weasel shark
Hemigaleus microstoma,0.045016467,0.03357126,Sicklefin weasel shark
Hemipristis elongata,0.081128532,0.054092447,Snaggletooth shark
Hemiscyllium freycineti,0.081128532,0.063716037,Indonesian speckled carpetshark
Hemiscyllium galei,0.041789228,0.032820068,Cenderawasih epaulette shark
Hemiscyllium hallstromi,0.05447083,0.042779837,Papuan epaulette shark
Hemiscyllium halmahera,0.058371868,0.043849144,Halmahera epaulette shark
Hemiscyllium henryi,0.039384841,0.030931732,Triton Epaulette shark
Hemiscyllium michaeli,0.039384841,0.029586026,Leopard epaulette shark
Hemiscyllium ocellatum,0.039384841,0.030194434,Epaulette shark
Hemiscyllium strahani,0.039384841,0.030931732,Hooded carpetshark
Hemiscyllium trispeculare,0.039384841,0.030931732,Speckled carpetshark
Hemitriakis abdita,0.039384841,0.025723865,Deepwater sicklefin houndshark
Hemitriakis complicofasciata,0.039384841,0.029987829,Ocellate topeshark
Hemitriakis falcata,0.039384841,0.028419607,Sicklefin houndshark
Hemitriakis indroyonoi,0.039384841,0.029326541,Indonesian houndshark
Hemitriakis japanica,0.039384841,0.029719298,Japanese topeshark
Hemitriakis leucoperiptera,0.039384841,0.031864405,Whitefin topeshark
Heptranchias perlo,0.041394859,0.021688428,Sharpnose sevengill shark
Heterodontus francisci,0.039384841,0.028986852,Horn shark
Heterodontus galeatus,0.039384841,0.02978465,Crested bullhead shark
Heterodontus japonicus,0.039384841,0.029087535,Japanese bullhead shark
Heterodontus mexicanus,0.039384841,0.029711965,Mexican hornshark
Heterodontus omanensis,0.039384841,0.030078053,Oman bullhead shark
Heterodontus portusjacksoni,0.039384841,0.025376021,Port Jackson shark
Heterodontus quoyi,0.039384841,0.030194434,Galapagos bullhead shark
Heterodontus ramalheira,0.039384841,0.026151633,Whitespotted bullhead shark
Heterodontus zebra,0.039384841,0.029875437,Zebra bullhead shark
Hexanchus griseus,0.123144038,0.051954799,Bluntnose sixgill shark
Hexanchus nakamurai,0.046298535,0.021351184,Bigeyed sixgill shark
Holohalaelurus favus,0.039384841,0.024262118,Honeycomb Izak
Holohalaelurus grennian,0.039384841,0.025489088,Grinning Izak
Holohalaelurus melanostigma,0.039384841,0.021508698,Crying Izak
Holohalaelurus punctatus,0.039384841,0.023184392,White-spotted Izak
Holohalaelurus regani,0.039384841,0.021568947,Izak catshark
Hypogaleus hyugaensis,0.039384841,0.026312442,Blacktip tope
Iago garricki,0.039384841,0.021783767,Longnose houndshark
Iago omanensis,0.039384841,0.021078842,Bigeye houndshark
Isistius brasiliensis,0.039384841,0.022817206,Cookiecutter shark
Isistius plutodus,0.079088487,0.047646053,Largetooth cookiecutter shark
Isogomphodon oxyrhynchus,0.080199865,0.060621234,Daggernose shark
Isurus oxyrinchus,0.081619729,0.045657114,Shortfin mako
Isurus paucus,0.03429803,0.016314921,Longfin mako
Lamiopsis temminckii,0.05447083,0.042010534,Broadfin shark
Lamiopsis tephrodes,0.035981581,0.027054941,Borneo broadfin shark
Lamna ditropis,0.164051319,0.101771426,Salmon shark
Lamna nasus,0.057722264,0.026831549,Porbeagle
Leptocharias smithii,0.063510577,0.049691945,Barbeled houndshark
Loxodon macrorhinus,0.05663298,0.048092875,Sliteye shark
Megachasma pelagios,0.063510577,0.040563601,Megamouth shark
Mitsukurina owstoni,0.042514043,0.016715372,Goblin shark
Mustelus albipinnis,0.042514043,0.027885793,White-margin fin smooth-hound
Mustelus antarcticus,0.176858196,0.091589718,Gummy shark
Mustelus asterias,0.099700094,0.072777337,Starry smooth-hound
Mustelus californicus,0.298958176,0.224032242,Grey smooth-hound
Mustelus canis,0.33876367,0.166733314,Dusky smooth-hound
Mustelus canis insularis,0.029896074,0.022945237,Dusky smooth-hound subspecies
Mustelus dorsalis,0.063510577,0.049926832,Sharptooth smooth-hound
Mustelus fasciatus,0.063510577,0.042069013,Striped smooth-hound
Mustelus griseus,0.063510577,0.045828435,Spotless smooth-hound
Mustelus henlei,0.244126667,0.178591669,Brown smooth-hound
Mustelus higmani,0.063510577,0.040488849,Smalleye smooth-hound
Mustelus lenticulatus,0.151673631,0.109609653,Spotted estuary smooth-hound
Mustelus lunulatus,0.081128532,0.059898412,Sicklefin smooth-hound
Mustelus manazo,0.224813844,0.139287573,Starspotted smooth-hound
Mustelus mento,0.081128532,0.060714918,Speckled smooth-hound
Mustelus minicanis,0.081128532,0.057183126,Dwarf smooth-hound
Mustelus mosis,0.081128532,0.053739038,Arabian smooth-hound
Mustelus mustelus,0.120635956,0.065081688,Smooth-hound
Mustelus norrisi,0.081128532,0.062981529,Narrowfin smooth-hound
Mustelus palumbes,0.081128532,0.052217528,Whitespotted smooth-hound
Mustelus punctulatus,0.081128532,0.051603968,Blackspotted smooth-hound
Mustelus ravidus,0.081128532,0.055542015,Australian grey smooth-hound
Mustelus schmitti,0.110622406,0.084213125,Narrownose smooth-hound
Mustelus sinusmexicanus,0.081128532,0.059422677,Gulf smooth-hound
Mustelus stevensi,0.081128532,0.039177738,Western spotted gummy shark
Mustelus walkeri,0.081128532,0.053609453,Eastern spotted gummy shark
Mustelus whitneyi,0.05447083,0.042827569,Humpback smooth-hound
Mustelus widodoi,0.05447083,0.039558372,White-fin smooth-hound
Nasolamia velox,0.052893643,0.04085369,Whitenose shark
Nebrius ferrugineus,0.052893643,0.036112184,Tawny nurse shark
Negaprion acutidens,0.052893643,0.037975823,Sicklefin lemon shark
Negaprion brevirostris,0.078683394,0.022048697,Lemon shark
Notorynchus cepedianus,0.177329956,0.106662392,Broadnose sevengill shark
Odontaspis ferox,0.052893643,0.023235876,Smalltooth sand tiger
Odontaspis noronhai,0.052893643,0.024270464,Bigeye sand tiger
Orectolobus floridus,0.052893643,0.040978263,Floral banded wobbegong
Orectolobus halei,0.040530859,0.027551532,Gulf wobbegong
Orectolobus hutchinsi,0.040530859,0.030151834,Western wobbegong
Orectolobus japonicus,0.040530859,0.029787762,Japanese wobbegong
Orectolobus leptolineatus,0.040530859,0.029076492,Indonesian wobbegong
Orectolobus maculatus,0.040530859,0.025917228,Spotted wobbegong
Orectolobus ornatus,0.040530859,0.02993228,Ornate wobbegong
Orectolobus parvimaculatus,0.040530859,0.031918947,Dwarf spotted wobbegong
Orectolobus reticulatus,0.040530859,0.031826537,Network wobbegong
Orectolobus wardi,0.020114487,0.016354066,Northern wobbegong
Oxynotus bruniensis,0.038282023,0.022553668,Prickly dogfish
Oxynotus caribbaeus,0.066735763,0.039692616,Caribbean roughshark
Oxynotus centrina,0.097129464,0.045267089,Angular roughshark
Oxynotus japonicus,0.066735763,0.044909776,Japanese roughshark
Oxynotus paradoxus,0.113851343,0.056536084,Sailfin roughshark
Paragaleus leucolomatus,0.066735763,0.052424484,Whitetip weasel shark
Paragaleus pectoralis,0.066735763,0.050091632,Atlantic weasel shark
Paragaleus randalli,0.048157539,0.037830303,Slender weasel shark
Paragaleus tengi,0.066735763,0.052424484,Straight-tooth weasel shark
Parascyllium collare,0.081567381,0.057941916,Collared carpetshark
Parascyllium ferrugineum,0.066735763,0.050658429,Rusty carpetshark
Parascyllium sparsimaculatum,0.066735763,0.041511122,Ginger carpetshark
Parascyllium variolatum,0.066735763,0.050832872,Necklace carpetshark
Parmaturus lanatus,0.066735763,0.037101142,Velvet catshark
Parmaturus macmillani,0.066735763,0.037128882,McMillan's catshark
Parmaturus melanobranchus,0.066735763,0.037101142,Blackgill catshark
Parmaturus pilosus,0.066735763,0.037101142,Salamander shark
Parmaturus xaniurus,0.066735763,0.036396674,Filetail catshark
Pentanchus profundicolus,0.066735763,0.037101142,Onefin catshark
Planonasus parini,0.066735763,0.039659208,Dwarf false catshark
Pliotrema warreni,0.066735763,0.035000403,Sixgill sawshark
Poroderma africanum,0.082774261,0.063626139,Pyjama shark
Poroderma pantherinum,0.081128532,0.057610799,Leopard catshark
Prionace glauca,0.372870073,0.127041255,Blue shark
Pristiophorus cirratus,0.081128532,0.047644118,Common sawshark
Pristiophorus delicatus,0.081128532,0.056141111,Tropical sawshark
Pristiophorus japonicus,0.081128532,0.041939477,Japanese sawshark
Pristiophorus lanae,0.081128532,0.05414396,Lana's sawshark
Pristiophorus nancyae,0.081128532,0.05277948,Dwarf sawshark
Pristiophorus nudipinnis,0.063510577,0.046249854,Shortnose sawshark
Proscyllium habereri,0.063510577,0.042152586,Graceful catshark
Proscyllium magnificum,0.081128532,0.053888749,Magnificent catshark
Pseudocarcharias kamoharai,0.034784511,0.014475685,Crocodile shark
Pseudotriakis microdon,0.081128532,0.036807355,False catshark
Rhincodon typus,0.140639411,0.069867628,Whale shark
Rhizoprionodon acutus,0.074116825,0.061753821,Milk shark
Rhizoprionodon lalandii,0.081128532,0.063696883,Brazilian sharpnose shark
Rhizoprionodon longurio,0.081128532,0.058411821,Pacific sharpnose shark
Rhizoprionodon oligolinx,0.081128532,0.065484655,Grey sharpnose shark
Rhizoprionodon porosus,0.081128532,0.055265181,Caribbean sharpnose shark
Rhizoprionodon taylori,0.374667547,0.297671351,Australian sharpnose shark
Rhizoprionodon terraenovae,0.232168994,0.16392754,Atlantic sharpnose shark
Schroederichthys bivius,0.081128532,0.053845794,Narrowmouthed catshark
Schroederichthys chilensis,0.081128532,0.062395799,Redspotted catshark
Schroederichthys saurisqualus,0.081128532,0.049055278,Lizard catshark
Schroederichthys tenuis,0.081128532,0.050438548,Slender catshark
Scyliorhinus boa,0.081128532,0.044748489,Boa catshark
Scyliorhinus canicula,0.339690225,0.179943296,Small-spotted catshark
Scyliorhinus capensis,0.081128532,0.04848999,Yellowspotted catshark
Scyliorhinus cervigoni,0.081128532,0.051956941,West African catshark
Scyliorhinus comoroensis,0.081128532,0.04920553,Comoro catshark
Scyliorhinus haeckelii,0.081128532,0.052122535,Freckled catshark
Scyliorhinus retifer,0.081128532,0.048233094,Chain catshark
Scyliorhinus stellaris,0.123959894,0.078337552,Nursehound
Scyliorhinus torazame,0.081128532,0.052215312,Cloudy catshark
Scylliogaleus quecketti,0.081128532,0.061868539,Flapnose houndshark
Scymnodalatias albicauda,0.081128532,0.048434822,Whitetail dogfish
Scymnodalatias garricki,0.081128532,0.048253043,Azores dogfish
Scymnodalatias sherwoodi,0.081128532,0.049041411,Sherwood dogfish
Scymnodon ringens,0.081128532,0.04398197,Knifetooth dogfish
Somniosus antarcticus,0.081128532,0.036230898,Southern sleeper shark
Somniosus longus,0.081128532,0.037763676,Frog shark
Somniosus microcephalus,0.081128532,0.035338088,Greenland shark
Somniosus pacificus,0.081128532,0.03621872,Pacific sleeper shark
Somniosus rostratus,0.081128532,0.03845828,Little sleeper shark
Sphyrna corona,0.081128532,0.063730769,Scalloped bonnethead
Sphyrna lewini,0.218322912,0.132455988,Scalloped hammerhead
Sphyrna media,0.081128532,0.060875628,Scoophead
Sphyrna mokarran,0.1515,0.123117256,Great hammerhead
Sphyrna tiburo,0.345179678,0.26910896,Bonnethead
Sphyrna tudes,0.081128532,0.058351576,Smalleye hammerhead
Sphyrna zygaena,0.085903428,0.061429803,Smooth hammerhead
Squaliolus aliae,0.081128532,0.04832665,Smalleye pygmy shark
Squaliolus laticaudus,0.081128532,0.04832665,Spined pygmy shark
Squalus acanthias,0.027629211,0.01383999,Picked dogfish
Squalus albifrons,0.02398235,0.016634651,Eastern highfin spurdog
Squalus altipinnis,0.041997973,0.029078161,Eastern highfin spurdog
Squalus blainville,0.052893643,0.024429855,Longnose spurdog
Squalus brevirostris,0.035839053,0.025579915,Japanese shortnose spurdog
Squalus bucephalus,0.0866463,0.056201058,Bighead spurdog
Squalus chloroculus,0.052842526,0.03147033,Greeneye spurdog
Squalus crassispinus,0.02417077,0.017117232,Fatspine spurdog
Squalus cubensis,0.03099889,0.021827557,Cuban dogfish
Squalus edmundsi,0.02398235,0.014060815,Edmund's spurdog
Squalus formosus,0.028712283,0.018700765,Taiwan spurdog
Squalus grahami,0.031744728,0.021611957,Eastern longnose spurdog
Squalus griffini,0.028614375,0.015537031,Northern spiny dogfish
Squalus hemipinnis,0.092088981,0.072312145,Indonesian shortsnout spurdog
Squalus japonicus,0.032411574,0.02178935,Japanese spurdog
Squalus megalops,0.061123351,0.039655821,Shortnose spurdog
Squalus melanurus,0.048157539,0.030807084,Blacktailed spurdog
Squalus mitsukurii,0.066735763,0.035308568,Shortspine spurdog
Squalus montalbani,0.070558423,0.041973147,Philippiines spurdog
Squalus nasutus,0.089325556,0.057951655,Western longnose spurdog
Squalus notocaudatus,0.035839053,0.023870282,Bartail spurdog
Squalus rancureli,0.01412523,0.008688303,Cyrano spurdog
Squalus raoulensis,0.044589624,0.029634589,Kermadec spiny dogfish
Squalus suckleyi,0.01786943,0.008581866,Pacific spiny dogfish
Squatina aculeata,0.022832368,0.014306732,Sawback angelshark
Squatina africana,0.05915435,0.042000292,African angelshark
Squatina albipunctata,0.033669026,0.023079048,Eastern angelshark
Squatina argentina,0.075439949,0.046706953,Argentine angelshark
Squatina armata,0.008741055,0.006502671,Chilean angelshark
Squatina australis,0.066735763,0.048558709,Australian angelshark
Squatina californica,0.076975879,0.055778629,Pacific angelshark
Squatina dumeril,0.05447083,0.02499548,Sand devil
Squatina formosa,0.038036038,0.022374989,Taiwan angelshark
Squatina guggenheim,0.138213829,0.108376285,Angular angel shark
Squatina japonica,0.02417077,0.015183051,Japanese angelshark
Squatina nebulosa,0.092088981,0.056546923,Clouded angelshark
Squatina occulta,0.072748961,0.047053938,Hidden angel shark
Squatina oculata,0.044589624,0.02816684,Smoothback angelshark
Squatina pseudocellata,0.092088981,0.058059322,Western angelshark
Squatina squatina,0.029896074,0.020149431,Angelshark
Squatina tergocellata,0.033669026,0.019807631,Ornate angelshark
Squatina tergocellatoides,0.055409597,0.039474169,Ocellated angelshark
Sutorectus tentaculatus,0.066735763,0.054259453,Cobbler wobbegong
Triaenodon obesus,0.125708623,0.08295024,Whitetip reef shark
Triakis acutipinna,0.033256483,0.021891929,Sharpfin houndshark
